Forward Packets,Forward Bytes,Delta Forward Packets,Delta Forward Bytes,Forward Instantaneous Packets per Second,Forward Average Packets per second,Forward Instantaneous Bytes per Second,Forward Average Bytes per second,Reverse Packets,Reverse Bytes,Delta Reverse Packets,Delta Reverse Bytes,DeltaReverse Instantaneous Packets per Second,Reverse Average Packets per second,Reverse Instantaneous Bytes per Second,Reverse Average Bytes per second,Traffic Type
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dns
0,0,0,0,0,0,0,0,7,760,7,760,7,7,760,760,dns
6,410,6,410,6,6,410,410,7,760,7,760,7,7,760,760,dns
6,410,6,410,6,6,410,410,12,1118,5,358,5,6,358,559,dns
9,616,3,206,3,4.5,206,308,12,1118,5,358,5,6,358,559,dns
9,616,3,206,3,4.5,206,308,13,1430,1,312,1,4.333333333,312,476.6666667,dns
9,616,0,0,0,3,0,205.3333333,13,1430,1,312,1,4.333333333,312,476.6666667,dns
9,616,0,0,0,3,0,205.3333333,13,1430,0,0,0,3.25,0,357.5,dns
9,616,0,0,0,2.25,0,154,13,1430,0,0,0,3.25,0,357.5,dns
9,616,0,0,0,2.25,0,154,14,1644,1,214,1,2.8,214,328.8,dns
9,616,0,0,0,1.8,0,123.2,14,1644,1,214,1,2.8,214,328.8,dns
9,616,0,0,0,1.8,0,123.2,14,1644,0,0,0,2.333333333,0,274,dns
9,616,0,0,0,1.5,0,102.6666667,14,1644,0,0,0,2.333333333,0,274,dns
9,616,0,0,0,1.5,0,102.6666667,15,1896,1,252,1,2.142857143,252,270.8571429,dns
9,616,0,0,0,1.285714286,0,88,15,1896,1,252,1,2.142857143,252,270.8571429,dns
9,616,0,0,0,1.285714286,0,88,15,1896,0,0,0,1.875,0,237,dns
9,616,0,0,0,1.125,0,77,15,1896,0,0,0,1.875,0,237,dns
9,616,0,0,0,1.125,0,77,16,2043,1,147,1,1.777777778,147,227,dns
9,616,0,0,0,1,0,68.44444444,16,2043,1,147,1,1.777777778,147,227,dns
9,616,0,0,0,1,0,68.44444444,17,2272,1,229,1,1.7,229,227.2,dns
