Forward Packets,Forward Bytes,Delta Forward Packets,Delta Forward Bytes,Forward Instantaneous Packets per Second,Forward Average Packets per second,Forward Instantaneous Bytes per Second,Forward Average Bytes per second,Reverse Packets,Reverse Bytes,Delta Reverse Packets,Delta Reverse Bytes,DeltaReverse Instantaneous Packets per Second,Reverse Average Packets per second,Reverse Instantaneous Bytes per Second,Reverse Average Bytes per second,Traffic Type
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ping
1,98,1,98,1,1,98,98,0,0,0,0,0,0,0,0,ping
1,98,1,98,1,1,98,98,0,0,0,0,0,0,0,0,ping
2,196,1,98,1,1,98,98,0,0,0,0,0,0,0,0,ping
2,196,1,98,1,1,98,98,1,98,1,98,1,0.5,98,49,ping
3,294,1,98,1,1,98,98,1,98,1,98,1,0.5,98,49,ping
3,294,1,98,1,1,98,98,2,196,1,98,1,0.6666666667,98,65.33333333,ping
4,392,1,98,1,1,98,98,2,196,1,98,1,0.6666666667,98,65.33333333,ping
4,392,1,98,1,1,98,98,3,294,1,98,1,0.75,98,73.5,ping
5,490,1,98,1,1,98,98,3,294,1,98,1,0.75,98,73.5,ping
5,490,1,98,1,1,98,98,4,392,1,98,1,0.8,98,78.4,ping
6,588,1,98,1,1,98,98,4,392,1,98,1,0.8,98,78.4,ping
6,588,1,98,1,1,98,98,5,490,1,98,1,0.8333333333,98,81.66666667,ping
7,686,1,98,1,1,98,98,5,490,1,98,1,0.8333333333,98,81.66666667,ping
7,686,1,98,1,1,98,98,6,588,1,98,1,0.8571428571,98,84,ping
8,784,1,98,1,1,98,98,6,588,1,98,1,0.8571428571,98,84,ping
8,784,1,98,1,1,98,98,7,686,1,98,1,0.875,98,85.75,ping
9,882,1,98,1,1,98,98,7,686,1,98,1,0.875,98,85.75,ping
9,882,1,98,1,1,98,98,8,784,1,98,1,0.8888888889,98,87.11111111,ping
10,980,1,98,1,1,98,98,8,784,1,98,1,0.8888888889,98,87.11111111,ping
10,980,1,98,1,1,98,98,9,882,1,98,1,0.9,98,88.2,ping
11,1078,1,98,1,1,98,98,9,882,1,98,1,0.9,98,88.2,ping
11,1078,1,98,1,1,98,98,10,980,1,98,1,0.9090909091,98,89.09090909,ping
12,1176,1,98,1,1,98,98,10,980,1,98,1,0.9090909091,98,89.09090909,ping
12,1176,1,98,1,1,98,98,11,1078,1,98,1,0.9166666667,98,89.83333333,ping
14,1316,2,140,2,1.076923077,140,101.2307692,11,1078,1,98,1,0.9166666667,98,89.83333333,ping
14,1316,2,140,2,1.076923077,140,101.2307692,13,1218,2,140,2,1,140,93.69230769,ping
15,1414,1,98,1,1.071428571,98,101,13,1218,2,140,2,1,140,93.69230769,ping
15,1414,1,98,1,1.071428571,98,101,14,1316,1,98,1,1,98,94,ping
16,1512,1,98,1,1.066666667,98,100.8,14,1316,1,98,1,1,98,94,ping
16,1512,1,98,1,1.066666667,98,100.8,15,1414,1,98,1,1,98,94.26666667,ping
17,1610,1,98,1,1.0625,98,100.625,15,1414,1,98,1,1,98,94.26666667,ping
17,1610,1,98,1,1.0625,98,100.625,16,1512,1,98,1,1,98,94.5,ping
18,1708,1,98,1,1.058823529,98,100.4705882,16,1512,1,98,1,1,98,94.5,ping
18,1708,1,98,1,1.058823529,98,100.4705882,17,1610,1,98,1,1,98,94.70588235,ping
19,1806,1,98,1,1.055555556,98,100.3333333,17,1610,1,98,1,1,98,94.70588235,ping
19,1806,1,98,1,1.055555556,98,100.3333333,18,1708,1,98,1,1,98,94.88888889,ping
20,1904,1,98,1,1.052631579,98,100.2105263,18,1708,1,98,1,1,98,94.88888889,ping
20,1904,1,98,1,1.052631579,98,100.2105263,19,1806,1,98,1,1,98,95.05263158,ping
21,2002,1,98,1,1.05,98,100.1,19,1806,1,98,1,1,98,95.05263158,ping
21,2002,1,98,1,1.05,98,100.1,20,1904,1,98,1,1,98,95.2,ping
22,2100,1,98,1,1.047619048,98,100,20,1904,1,98,1,1,98,95.2,ping
22,2100,1,98,1,1.047619048,98,100,21,2002,1,98,1,1,98,95.33333333,ping
