Forward Packets,Forward Bytes,Delta Forward Packets,Delta Forward Bytes,Forward Instantaneous Packets per Second,Forward Average Packets per second,Forward Instantaneous Bytes per Second,Forward Average Bytes per second,Reverse Packets,Reverse Bytes,Delta Reverse Packets,Delta Reverse Bytes,DeltaReverse Instantaneous Packets per Second,Reverse Average Packets per second,Reverse Instantaneous Bytes per Second,Reverse Average Bytes per second,Traffic Type
45,3992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,telnet
45,3992,0,0,0,0,0,0,46,3036,46,3036,0,0,0,0,telnet
71,6241,26,2249,26,71,2249,6241,46,3036,46,3036,0,0,0,0,telnet
71,6241,26,2249,26,71,2249,6241,72,4752,26,1716,26,72,1716,4752,telnet
118,10180,47,3939,47,59,3939,5090,72,4752,26,1716,26,72,1716,4752,telnet
118,10180,47,3939,47,59,3939,5090,117,7752,45,3000,45,58.5,3000,3876,telnet
155,13442,37,3262,37,51.66666667,3262,4480.666667,117,7752,45,3000,45,58.5,3000,3876,telnet
155,13442,37,3262,37,51.66666667,3262,4480.666667,154,10194,37,2442,37,51.33333333,2442,3398,telnet
307,26844,152,13402,152,76.75,13402,6711,154,10194,37,2442,37,51.33333333,2442,3398,telnet
307,26844,152,13402,152,76.75,13402,6711,306,20226,152,10032,152,76.5,10032,5056.5,telnet
369,32300,62,5456,62,73.8,5456,6460,306,20226,152,10032,152,76.5,10032,5056.5,telnet
369,32300,62,5456,62,73.8,5456,6460,368,24318,62,4092,62,73.6,4092,4863.6,telnet
369,32300,0,0,0,61.5,0,5383.333333,368,24318,62,4092,62,73.6,4092,4863.6,telnet
369,32300,0,0,0,61.5,0,5383.333333,368,24318,0,0,0,61.33333333,0,4053,telnet
369,32300,0,0,0,52.71428571,0,4614.285714,368,24318,0,0,0,61.33333333,0,4053,telnet
369,32300,0,0,0,52.71428571,0,4614.285714,368,24318,0,0,0,52.57142857,0,3474,telnet
369,32300,0,0,0,46.125,0,4037.5,368,24318,0,0,0,52.57142857,0,3474,telnet
369,32300,0,0,0,46.125,0,4037.5,368,24318,0,0,0,46,0,3039.75,telnet
369,32300,0,0,0,41,0,3588.888889,368,24318,0,0,0,46,0,3039.75,telnet
369,32300,0,0,0,41,0,3588.888889,368,24318,0,0,0,40.88888889,0,2702,telnet
369,32300,0,0,0,36.9,0,3230,368,24318,0,0,0,40.88888889,0,2702,telnet
369,32300,0,0,0,36.9,0,3230,368,24318,0,0,0,36.8,0,2431.8,telnet
369,32300,0,0,0,33.54545455,0,2936.363636,368,24318,0,0,0,36.8,0,2431.8,telnet
369,32300,0,0,0,33.54545455,0,2936.363636,368,24318,0,0,0,33.45454545,0,2210.727273,telnet
369,32300,0,0,0,30.75,0,2691.666667,368,24318,0,0,0,33.45454545,0,2210.727273,telnet
369,32300,0,0,0,30.75,0,2691.666667,368,24318,0,0,0,30.66666667,0,2026.5,telnet
369,32300,0,0,0,28.38461538,0,2484.615385,368,24318,0,0,0,30.66666667,0,2026.5,telnet
369,32300,0,0,0,28.38461538,0,2484.615385,368,24318,0,0,0,28.30769231,0,1870.615385,telnet
369,32300,0,0,0,26.35714286,0,2307.142857,368,24318,0,0,0,28.30769231,0,1870.615385,telnet
369,32300,0,0,0,26.35714286,0,2307.142857,368,24318,0,0,0,26.28571429,0,1737,telnet
369,32300,0,0,0,24.6,0,2153.333333,368,24318,0,0,0,26.28571429,0,1737,telnet
369,32300,0,0,0,24.6,0,2153.333333,368,24318,0,0,0,24.53333333,0,1621.2,telnet
369,32300,0,0,0,23.0625,0,2018.75,368,24318,0,0,0,24.53333333,0,1621.2,telnet
369,32300,0,0,0,23.0625,0,2018.75,368,24318,0,0,0,23,0,1519.875,telnet
369,32300,0,0,0,21.70588235,0,1900,368,24318,0,0,0,23,0,1519.875,telnet
369,32300,0,0,0,21.70588235,0,1900,368,24318,0,0,0,21.64705882,0,1430.470588,telnet
369,32300,0,0,0,20.5,0,1794.444444,368,24318,0,0,0,21.64705882,0,1430.470588,telnet
369,32300,0,0,0,20.5,0,1794.444444,368,24318,0,0,0,20.44444444,0,1351,telnet
369,32300,0,0,0,19.42105263,0,1700,368,24318,0,0,0,20.44444444,0,1351,telnet
369,32300,0,0,0,19.42105263,0,1700,368,24318,0,0,0,19.36842105,0,1279.894737,telnet
369,32300,0,0,0,18.45,0,1615,368,24318,0,0,0,19.36842105,0,1279.894737,telnet
369,32300,0,0,0,18.45,0,1615,368,24318,0,0,0,18.4,0,1215.9,telnet
369,32300,0,0,0,17.57142857,0,1538.095238,368,24318,0,0,0,18.4,0,1215.9,telnet
369,32300,0,0,0,17.57142857,0,1538.095238,368,24318,0,0,0,17.52380952,0,1158,telnet
369,32300,0,0,0,16.77272727,0,1468.181818,368,24318,0,0,0,17.52380952,0,1158,telnet
369,32300,0,0,0,16.77272727,0,1468.181818,368,24318,0,0,0,16.72727273,0,1105.363636,telnet
369,32300,0,0,0,16.04347826,0,1404.347826,368,24318,0,0,0,16.72727273,0,1105.363636,telnet
369,32300,0,0,0,16.04347826,0,1404.347826,368,24318,0,0,0,16,0,1057.304348,telnet
369,32300,0,0,0,15.375,0,1345.833333,368,24318,0,0,0,16,0,1057.304348,telnet
369,32300,0,0,0,15.375,0,1345.833333,368,24318,0,0,0,15.33333333,0,1013.25,telnet
371,32437,2,137,2,14.84,137,1297.48,368,24318,0,0,0,15.33333333,0,1013.25,telnet
371,32437,2,137,2,14.84,137,1297.48,370,24450,2,132,2,14.8,132,978,telnet
449,39095,78,6658,78,17.26923077,6658,1503.653846,370,24450,2,132,2,14.8,132,978,telnet
449,39095,78,6658,78,17.26923077,6658,1503.653846,447,29562,77,5112,77,17.19230769,5112,1137,telnet
609,53238,160,14143,160,22.55555556,14143,1971.777778,447,29562,77,5112,77,17.19230769,5112,1137,telnet
