Forward Packets,Forward Bytes,Delta Forward Packets,Delta Forward Bytes,Forward Instantaneous Packets per Second,Forward Average Packets per second,Forward Instantaneous Bytes per Second,Forward Average Bytes per second,Reverse Packets,Reverse Bytes,Delta Reverse Packets,Delta Reverse Bytes,DeltaReverse Instantaneous Packets per Second,Reverse Average Packets per second,Reverse Instantaneous Bytes per Second,Reverse Average Bytes per second,Traffic Type
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,voice
0,0,0,0,0,0,0,0,5,339,5,339,5,5,339,339,voice
2,145,2,145,2,2,145,145,5,339,5,339,5,5,339,339,voice
2,145,2,145,2,2,145,145,56,7965,51,7626,51,28,7626,3982.5,voice
9,616,7,471,7,4.5,471,308,56,7965,51,7626,51,28,7626,3982.5,voice
9,616,7,471,7,4.5,471,308,105,15707,49,7742,49,35,7742,5235.666667,voice
9,616,0,0,0,3,0,205.3333333,105,15707,49,7742,49,35,7742,5235.666667,voice
9,616,0,0,0,3,0,205.3333333,154,23449,49,7742,49,38.5,7742,5862.25,voice
9,616,0,0,0,2.25,0,154,154,23449,49,7742,49,38.5,7742,5862.25,voice
9,616,0,0,0,2.25,0,154,203,31191,49,7742,49,40.6,7742,6238.2,voice
9,616,0,0,0,1.8,0,123.2,203,31191,49,7742,49,40.6,7742,6238.2,voice
9,616,0,0,0,1.8,0,123.2,252,38933,49,7742,49,42,7742,6488.833333,voice
9,616,0,0,0,1.5,0,102.6666667,252,38933,49,7742,49,42,7742,6488.833333,voice
9,616,0,0,0,1.5,0,102.6666667,300,46517,48,7584,48,42.85714286,7584,6645.285714,voice
9,616,0,0,0,1.285714286,0,88,300,46517,48,7584,48,42.85714286,7584,6645.285714,voice
9,616,0,0,0,1.285714286,0,88,349,54259,49,7742,49,43.625,7742,6782.375,voice
9,616,0,0,0,1.125,0,77,349,54259,49,7742,49,43.625,7742,6782.375,voice
9,616,0,0,0,1.125,0,77,397,61843,48,7584,48,44.11111111,7584,6871.444444,voice
9,616,0,0,0,1,0,68.44444444,397,61843,48,7584,48,44.11111111,7584,6871.444444,voice
9,616,0,0,0,1,0,68.44444444,446,69585,49,7742,49,44.6,7742,6958.5,voice
9,616,0,0,0,0.9,0,61.6,446,69585,49,7742,49,44.6,7742,6958.5,voice
9,616,0,0,0,0.9,0,61.6,495,77327,49,7742,49,45,7742,7029.727273,voice
9,616,0,0,0,0.8181818182,0,56,495,77327,49,7742,49,45,7742,7029.727273,voice
9,616,0,0,0,0.8181818182,0,56,498,77714,3,387,3,41.5,387,6476.166667,voice
10,682,1,66,1,0.8333333333,66,56.83333333,498,77714,3,387,3,41.5,387,6476.166667,voice
10,682,1,66,1,0.8333333333,66,56.83333333,552,85455,54,7741,54,42.46153846,7741,6573.461538,voice
19,1298,9,616,9,1.461538462,616,99.84615385,552,85455,54,7741,54,42.46153846,7741,6573.461538,voice
19,1298,9,616,9,1.461538462,616,99.84615385,600,93039,48,7584,48,42.85714286,7584,6645.642857,voice
19,1298,0,0,0,1.357142857,0,92.71428571,600,93039,48,7584,48,42.85714286,7584,6645.642857,voice
19,1298,0,0,0,1.357142857,0,92.71428571,649,100781,49,7742,49,43.26666667,7742,6718.733333,voice
19,1298,0,0,0,1.266666667,0,86.53333333,649,100781,49,7742,49,43.26666667,7742,6718.733333,voice
19,1298,0,0,0,1.266666667,0,86.53333333,698,108523,49,7742,49,43.625,7742,6782.6875,voice
19,1298,0,0,0,1.1875,0,81.125,698,108523,49,7742,49,43.625,7742,6782.6875,voice
19,1298,0,0,0,1.1875,0,81.125,747,116265,49,7742,49,43.94117647,7742,6839.117647,voice
19,1298,0,0,0,1.117647059,0,76.35294118,747,116265,49,7742,49,43.94117647,7742,6839.117647,voice
19,1298,0,0,0,1.117647059,0,76.35294118,796,124007,49,7742,49,44.22222222,7742,6889.277778,voice
19,1298,0,0,0,1.055555556,0,72.11111111,796,124007,49,7742,49,44.22222222,7742,6889.277778,voice
19,1298,0,0,0,1.055555556,0,72.11111111,844,131591,48,7584,48,44.42105263,7584,6925.842105,voice
19,1298,0,0,0,1,0,68.31578947,844,131591,48,7584,48,44.42105263,7584,6925.842105,voice
19,1298,0,0,0,1,0,68.31578947,893,139333,49,7742,49,44.65,7742,6966.65,voice
19,1298,0,0,0,0.95,0,64.9,893,139333,49,7742,49,44.65,7742,6966.65,voice
19,1298,0,0,0,0.95,0,64.9,942,147075,49,7742,49,44.85714286,7742,7003.571429,voice
19,1298,0,0,0,0.9047619048,0,61.80952381,942,147075,49,7742,49,44.85714286,7742,7003.571429,voice
19,1298,0,0,0,0.9047619048,0,61.80952381,991,154817,49,7742,49,45.04545455,7742,7037.136364,voice
19,1298,0,0,0,0.8636363636,0,59,991,154817,49,7742,49,45.04545455,7742,7037.136364,voice
19,1298,0,0,0,0.8636363636,0,59,996,155520,5,703,5,43.30434783,703,6761.73913,voice
20,1364,1,66,1,0.8695652174,66,59.30434783,996,155520,5,703,5,43.30434783,703,6761.73913,voice
20,1364,1,66,1,0.8695652174,66,59.30434783,1049,163011,53,7491,53,43.70833333,7491,6792.125,voice
29,1980,9,616,9,1.208333333,616,82.5,1049,163011,53,7491,53,43.70833333,7491,6792.125,voice
29,1980,9,616,9,1.208333333,616,82.5,1098,170753,49,7742,49,43.92,7742,6830.12,voice
29,1980,0,0,0,1.16,0,79.2,1098,170753,49,7742,49,43.92,7742,6830.12,voice
29,1980,0,0,0,1.16,0,79.2,1146,178337,48,7584,48,44.07692308,7584,6859.115385,voice
29,1980,0,0,0,1.115384615,0,76.15384615,1146,178337,48,7584,48,44.07692308,7584,6859.115385,voice
29,1980,0,0,0,1.115384615,0,76.15384615,1195,186079,49,7742,49,44.25925926,7742,6891.814815,voice
29,1980,0,0,0,1.074074074,0,73.33333333,1195,186079,49,7742,49,44.25925926,7742,6891.814815,voice
29,1980,0,0,0,1.074074074,0,73.33333333,1244,193821,49,7742,49,44.42857143,7742,6922.178571,voice
29,1980,0,0,0,1.035714286,0,70.71428571,1244,193821,49,7742,49,44.42857143,7742,6922.178571,voice
29,1980,0,0,0,1.035714286,0,70.71428571,1293,201563,49,7742,49,44.5862069,7742,6950.448276,voice
29,1980,0,0,0,1,0,68.27586207,1293,201563,49,7742,49,44.5862069,7742,6950.448276,voice
29,1980,0,0,0,1,0,68.27586207,1342,209305,49,7742,49,44.73333333,7742,6976.833333,voice
29,1980,0,0,0,0.9666666667,0,66,1342,209305,49,7742,49,44.73333333,7742,6976.833333,voice
29,1980,0,0,0,0.9666666667,0,66,1390,216889,48,7584,48,44.83870968,7584,6996.419355,voice
